id,date,product_name,category,quantity_sold,unit_price,revenue,region
1,2025-04-16,Tablet,Electronics,11,300.0,3300.0,North
2,2025-04-19,Mouse,Accessories,5,20.0,100.0,North
3,2025-05-01,Headphones,Accessories,5,60.0,300.0,West
4,2025-04-27,Charger,Accessories,12,25.0,300.0,West
5,2025-04-07,Webcam,Accessories,2,80.0,160.0,West
6,2025-04-23,Mouse,Accessories,3,20.0,60.0,West
7,2025-04-13,Charger,Accessories,10,25.0,250.0,East
8,2025-04-28,Tablet,Electronics,12,300.0,3600.0,South
9,2025-04-04,Monitor,Electronics,18,200.0,3600.0,North
10,2025-04-27,Laptop,Electronics,18,750.0,13500.0,South
11,2025-04-26,Charger,Accessories,19,25.0,475.0,West
12,2025-04-24,Keyboard,Accessories,1,30.0,30.0,West
13,2025-04-21,Charger,Accessories,13,25.0,325.0,East
14,2025-04-05,Monitor,Electronics,4,200.0,800.0,East
15,2025-04-10,Monitor,Electronics,10,200.0,2000.0,West
16,2025-04-04,Headphones,Accessories,20,60.0,1200.0,West
17,2025-04-16,USB Cable,Accessories,15,10.0,150.0,West
18,2025-04-20,Tablet,Electronics,16,300.0,4800.0,West
19,2025-04-16,USB Cable,Accessories,14,10.0,140.0,East
20,2025-04-15,USB Cable,Accessories,13,10.0,130.0,North
21,2025-04-14,Tablet,Electronics,1,300.0,300.0,West
22,2025-04-14,Tablet,Electronics,6,300.0,1800.0,West
23,2025-04-28,Headphones,Accessories,5,60.0,300.0,South
24,2025-04-06,Laptop,Electronics,15,750.0,11250.0,West
25,2025-04-08,Keyboard,Accessories,5,30.0,150.0,South
26,2025-04-25,Webcam,Accessories,17,80.0,1360.0,North
27,2025-04-07,Smartphone,Electronics,7,500.0,3500.0,West
28,2025-04-20,Webcam,Accessories,19,80.0,1520.0,North
29,2025-04-03,Keyboard,Accessories,12,30.0,360.0,South
30,2025-04-10,Tablet,Electronics,19,300.0,5700.0,North
31,2025-04-12,Charger,Accessories,12,25.0,300.0,South
32,2025-04-19,Mouse,Accessories,16,20.0,320.0,West
33,2025-04-18,Webcam,Accessories,8,80.0,640.0,West
34,2025-04-03,Smartphone,Electronics,11,500.0,5500.0,East
35,2025-04-28,Smartphone,Electronics,7,500.0,3500.0,East
36,2025-04-25,Charger,Accessories,10,25.0,250.0,West
37,2025-04-01,Webcam,Accessories,9,80.0,720.0,West
38,2025-04-18,USB Cable,Accessories,2,10.0,20.0,North
39,2025-04-28,Charger,Accessories,12,25.0,300.0,West
40,2025-04-24,Monitor,Electronics,2,200.0,400.0,South
